ID;UF;LON;LAT;ANNUAL;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
34910;Alagoas;-37.1490;-9.8005;5351;5694;5707;5861;5361;4611;4377;4488;5022;5638;5637;6010;5802
34911;Alagoas;-37.0490;-9.8005;5303;5635;5584;5813;5352;4577;4349;4484;4979;5563;5586;5997;5713
34912;Alagoas;-36.9490;-9.8005;5287;5657;5565;5816;5323;4546;4296;4430;4896;5527;5608;6011;5770
34913;Alagoas;-36.8490;-9.8005;5318;5726;5612;5862;5326;4571;4309;4446;4906;5553;5677;5962;5860
34914;Alagoas;-36.7490;-9.8005;5315;5698;5644;5864;5322;4548;4319;4441;4923;5518;5674;5982;5853
34915;Alagoas;-36.6490;-9.8005;5288;5681;5622;5841;5304;4546;4297;4388;4881;5471;5620;5946;5853
34916;Alagoas;-36.5490;-9.8005;5271;5633;5609;5865;5273;4563;4275;4336;4898;5466;5588;5892;5853
34917;Alagoas;-36.4490;-9.8005;5241;5600;5616;5856;5260;4542;4245;4359;4814;5409;5545;5820;5825
34918;Alagoas;-36.3490;-9.8005;5237;5601;5634;5851;5261;4541;4228;4341;4802;5377;5546;5844;5825
34919;Alagoas;-36.2490;-9.8005;5242;5563;5683;5834;5248;4595;4258;4325;4795;5398;5549;5859;5800
34920;Alagoas;-36.1490;-9.8005;5268;5593;5708;5884;5231;4626;4278;4345;4805;5412;5603;5908;5821
34921;Alagoas;-36.0490;-9.8005;5317;5648;5768;5954;5232;4639;4306;4365;4845;5506;5696;5975;5869
34922;Alagoas;-35.9490;-9.8005;5400;5757;5896;6032;5349;4684;4341;4488;5014;5566;5759;5978;5938
34923;Alagoas;-35.8490;-9.8005;5582;5905;6050;6183;5470;4824;4530;4637;5257;5851;6024;6141;6113
35268;Alagoas;-37.6490;-9.7005;5467;5920;5873;6103;5515;4757;4397;4472;5004;5677;5782;6145;5957
35269;Alagoas;-37.5490;-9.7005;5483;5913;5897;6060;5542;4773;4462;4518;5092;5687;5795;6134;5928
35270;Alagoas;-37.4490;-9.7005;5450;5830;5869;5996;5543;4744;4484;4548;5097;5639;5718;6080;5857
35271;Alagoas;-37.3490;-9.7005;5342;5711;5708;5909;5398;4693;4351;4442;4903;5533;5616;6029;5817
35272;Alagoas;-37.2490;-9.7005;5309;5718;5647;5845;5374;4637;4315;4392;4871;5505;5592;5998;5815
35273;Alagoas;-37.1490;-9.7005;5309;5706;5593;5818;5358;4573;4311;4408;4962;5573;5588;5986;5834
35274;Alagoas;-37.0490;-9.7005;5268;5669;5544;5790;5282;4528;4308;4356;4880;5493;5568;6014;5784
35275;Alagoas;-36.9490;-9.7005;5281;5709;5577;5804;5286;4508;4270;4362;4852;5493;5612;6054;5848
35276;Alagoas;-36.8490;-9.7005;5332;5769;5681;5852;5336;4534;4282;4400;4893;5594;5676;6048;5914
35277;Alagoas;-36.7490;-9.7005;5359;5719;5638;5857;5409;4589;4328;4500;4946;5597;5729;6100;5904
35278;Alagoas;-36.6490;-9.7005;5318;5674;5610;5834;5371;4578;4306;4423;4897;5532;5650;6060;5878
35279;Alagoas;-36.5490;-9.7005;5289;5643;5613;5832;5294;4540;4274;4350;4896;5518;5618;6018;5868
35280;Alagoas;-36.4490;-9.7005;5268;5626;5648;5857;5293;4512;4260;4263;4797;5483;5610;5953;5913
35281;Alagoas;-36.3490;-9.7005;5232;5578;5622;5802;5262;4493;4233;4261;4777;5447;5561;5903;5843
35282;Alagoas;-36.2490;-9.7005;5207;5571;5619;5825;5182;4525;4192;4255;4743;5405;5529;5852;5780
35283;Alagoas;-36.1490;-9.7005;5236;5583;5651;5830;5239;4563;4229;4294;4785;5418;5584;5866;5790
35284;Alagoas;-36.0490;-9.7005;5282;5620;5716;5850;5271;4611;4262;4352;4825;5472;5645;5920;5846
35285;Alagoas;-35.9490;-9.7005;5404;5803;5900;6031;5358;4676;4340;4442;4975;5601;5780;6020;5928
35286;Alagoas;-35.8490;-9.7005;5455;5780;5896;6044;5395;4720;4419;4548;5147;5667;5855;6014;5972
